Ime,Atribut,Level_Rank,Tip,ATK,DEF 
Energy Bravery,LIGHT,4,Warrior,1700,1200
Engraver of the Mark,DARK,4,Spellcaster,1800,1200
Enraged Battle Ox,EARTH,4,Beast-Warrior,1700,1000
Envoy of Chaos,DARK,4,Warrior,1500,0
Escher the Frost Vassal,WATER,4,Aqua,800,1000
Etoile Cyber,EARTH,4,Warrior,1200,1600
Evening Twilight Knight,DARK,4,Warrior,500,2000
Evigishki Merrowgeist,WATER,4,Aqua,2100,1600
Evil HERO Infernal Gainer,EARTH,4,Fiend,1600,0
Evilswarm Azzathoth,DARK,4,Reptile,750,1950
Evilswarm Bahamut,DARK,4,Dragon,2350,1350
Evilswarm Castor,DARK,4,Warrior,1750,550
Evilswarm Exciton Knight,LIGHT,4,Fiend,1900,0
Evilswarm Heliotrope,DARK,4,Rock,1950,650
Evilswarm Hraesvelg,DARK,4,Winged Beast,1150,1850
Evilswarm Kerykeion,DARK,4,Spellcaster,1600,1550
Evilswarm Ketos,DARK,4,Aqua,1750,1050
Evilswarm Mandragora,DARK,4,Plant,1550,1450
Evilswarm Nightmare,DARK,4,Fiend,950,1950
Evilswarm O'lantern,DARK,4,Pyro,1650,1250
Evilswarm Obliviwisp,DARK,4,Pyro,450,2050
Evilswarm Ophion,DARK,4,Dragon,2550,1650
Evilswarm Ouroboros,DARK,4,Dragon,2750,1950
Evilswarm Salamandra,DARK,4,Dinosaur,1850,950
Evilswarm Thanatos,DARK,4,Fiend,2350,1350
Evilswarm Thunderbird,DARK,4,Thunder,1650,1050
Evilswarm Zahak,DARK,4,Dragon,1850,850
Evocator Chevalier,FIRE,4,Warrior,1900,900
Evolsaur Cerato,FIRE,4,Dinosaur,1900,1400
Evolsaur Diplo,FIRE,4,Dinosaur,1600,800
Evolsaur Pelta,FIRE,4,Dinosaur,1100,2000
Evolsaur Vulcano,FIRE,4,Dinosaur,1200,1000
Evolzar Dolkka,FIRE,4,Dragon,2300,1700
Evolzar Laggia,FIRE,4,Dragon,2400,2000
Exarion Universe,DARK,4,Beast-Warrior,1800,1900
Exiled Force,EARTH,4,Warrior,1000,1000
Exodia Necross,DARK,4,Spellcaster,1800,0
Express Train Trolley Olley,EARTH,4,Machine,1800,1000
Expressroid,EARTH,4,Machine,400,1600
Fabled Ashenveil,LIGHT,4,Fiend,1600,1200
Fabled Gallabas,LIGHT,4,Fiend,1500,800
Fabled Grimro,LIGHT,4,Fiend,1700,1000
Fabled Urustos,LIGHT,4,Fiend,1500,200
Fairy Cheer Girl,LIGHT,4,Fairy,1900,1500
Fairy Dragon,WIND,4,Dragon,1100,1200
Fairy King Albverdich,EARTH,4,Plant,2300,1400
Fairy Tail - Luna,LIGHT,4,Spellcaster,1850,1000
Fairy Tail - Rella,LIGHT,4,Spellcaster,1850,1000
Fairy Tail - Sleeper,LIGHT,4,Spellcaster,1850,1000
Fairy Tail - Snow,LIGHT,4,Spellcaster,1850,1000
Fairy's Gift,LIGHT,4,Spellcaster,1400,1000
Faith Bird,WIND,4,Winged Beast,1500,1100
Falchion&beta;,LIGHT,4,Machine,1200,800
Familiar-Possessed - Aussa,EARTH,4,Spellcaster,1850,1500
Familiar-Possessed - Dharc,DARK,4,Spellcaster,1850,1500
Familiar-Possessed - Eria,WATER,4,Spellcaster,1850,1500
Familiar-Possessed - Hiita,FIRE,4,Spellcaster,1850,1500
Familiar-Possessed - Lyna,LIGHT,4,Spellcaster,1850,1500
Familiar-Possessed - Wynn,WIND,4,Spellcaster,1850,1500
Fear from the Dark,DARK,4,Zombie,1700,1500
"Felis, Lightsworn Archer",LIGHT,4,Beast-Warrior,1100,2000
Fencing Fire Ferret,FIRE,4,Beast,1700,600
Fenrir,WATER,4,Beast,1400,1200
Feral Imp,DARK,4,Fiend,1300,1400
Field-Commander Rahz,EARTH,4,Warrior,1600,1200
Fiend Reflection #2,LIGHT,4,Winged Beast,1100,1400
Fire Cracker,FIRE,4,Fiend,1700,200
Fire Hand,FIRE,4,Pyro,1600,1000
Fire King Avatar Barong,FIRE,4,Beast-Warrior,1800,200
Fire King Avatar Yaksha,FIRE,4,Beast-Warrior,1800,200
Fire Kraken,FIRE,4,Aqua,1600,1500
Fire Princess,FIRE,4,Pyro,1300,1500
Fire Sorcerer,FIRE,4,Spellcaster,1000,1500
Firebird,FIRE,4,Winged Beast,1000,800
Fireyarou,FIRE,4,Pyro,1300,1000
Fishborg Doctor,WATER,4,Fish,400,400
Flame Armor Ninja,FIRE,4,Warrior,1700,1000
Flame Ruler,FIRE,4,Pyro,1500,1600
Flame Spirit Ignis,FIRE,4,Pyro,1500,1200
Flame Tiger,FIRE,4,Beast,1800,0
Flamvell Firedog,FIRE,4,Beast,1900,200
Flamvell Grunika,FIRE,4,Dragon,1700,200
Flamvell Magician,FIRE,4,Spellcaster,1400,200
Flash Assailant,DARK,4,Fiend,2000,2000
Flash Knight,LIGHT,4,Warrior,1800,600
Flint Lock,LIGHT,4,Machine,1500,800
Fluffal Dog,EARTH,4,Fairy,1700,1000
Fluffal Leo,EARTH,4,Fairy,1600,1200
Fluffal Penguin,WATER,4,Fairy,1600,1100
Flying Fish,WIND,4,Fish,800,500
Flying Kamakiri #1,WIND,4,Insect,1400,900
Flying Kamakiri #2,WIND,4,Insect,1500,800
Flying Penguin,WATER,4,Aqua,1200,1000
Fortune Lady Water,WATER,4,Spellcaster,0,0
Fossil Dyna Pachycephalo,EARTH,4,Rock,1200,1300
Fossil Tusker,EARTH,4,Rock,1800,0
Freed the Brave Wanderer,LIGHT,4,Warrior,1700,1200
Freezing Beast,WATER,4,Aqua,1500,1000
Frenzied Panda,EARTH,4,Beast,1200,1000
Frontline Observer,EARTH,4,Machine,1000,1500
Full Armored Black Ray Lancer,WATER,4,Beast-Warrior,2100,600
Fushi No Tori,FIRE,4,Winged Beast,1200,0
Fusion Devourer,DARK,4,Fiend,1400,1200
Future Samurai,LIGHT,4,Warrior,1600,1200
G.B. Hunter,EARTH,4,Warrior,1200,2000
Gagaga Cowboy,EARTH,4,Warrior,1500,2400
Gagaga Gardna,EARTH,4,Warrior,1500,2000
Gagaga Magician,DARK,4,Spellcaster,1500,1000
Gagaga Mancer,DARK,4,Spellcaster,100,100
Gagaga Samurai,EARTH,4,Warrior,1900,1600
Gagagigo,WATER,4,Reptile,1850,1000
Gagagigo the Risen,WATER,4,Reptile,2950,2950
Gaia Soul the Combustible Collective,FIRE,4,Pyro,2000,0
"Gaia, the Mid-Knight Sun",LIGHT,4,Warrior,1600,1200
"Gaia, the Polar Knight",DARK,4,Warrior,1600,1200
Galaxy Dragon,LIGHT,4,Dragon,2000,1200
Galaxy Stealth Dragon,DARK,4,Dragon,2000,1600
Galaxy Wizard,LIGHT,4,Spellcaster,0,1800
Gale Lizard,WATER,4,Reptile,1400,700
Gambler of Legend,DARK,4,Spellcaster,500,1400
Gamma The Magnet Warrior,EARTH,4,Rock,1500,1800
Ganbara Knight,LIGHT,4,Warrior,0,1800
Garmr of the Nordic Beasts,DARK,4,Beast,800,1900
"Garoth, Lightsworn Warrior",LIGHT,4,Warrior,1850,1300
Garuda the Wind Spirit,WIND,4,Winged Beast,1600,1200
Gash the Dust Lord,DARK,4,Fiend,1000,1200
Gate Blocker,EARTH,4,Rock,100,2000
Gazelle the King of Mythical Beasts,EARTH,4,Beast,1500,1200
Gear Gigant X,EARTH,4,Machine,2300,1500
Gear Golem the Moving Fortress,EARTH,4,Machine,800,2200
Gearfried the Iron Knight,EARTH,4,Warrior,1800,1600
Geargiaccelerator,EARTH,4,Machine,1400,800
Geargianchor,EARTH,4,Machine,1800,500
Geargiarmor,EARTH,4,Machine,1100,1900
Geargiarsenal,EARTH,4,Machine,1500,500
Geargiattacker,EARTH,4,Machine,1900,100
Geargiauger,EARTH,4,Machine,500,500
Gellenduo,LIGHT,4,Fairy,1700,0
Gem-Armadillo,EARTH,4,Rock,1700,500
Gem-Knight Alexandrite,EARTH,4,Rock,1800,1200
Gem-Knight Amber,EARTH,4,Thunder,1600,1400
Gem-Knight Emerald,EARTH,4,Rock,1800,800
Gem-Knight Garnet,EARTH,4,Pyro,1900,0
Gem-Knight Iolite,EARTH,4,Aqua,1300,2000
Gem-Knight Pearl,EARTH,4,Rock,2600,1900
Gem-Knight Sapphire,EARTH,4,Aqua,0,2100
Gem-Knight Sardonyx,EARTH,4,Pyro,1800,900
Gem-Knight Tourmaline,EARTH,4,Thunder,1600,1800
Gem-Turtle,EARTH,4,Rock,0,2000
Gemini Elf,EARTH,4,Spellcaster,1900,900
Gemini Imps,DARK,4,Fiend,1000,1000
Gemini Lancer,WATER,4,Sea Serpent,1800,1400
Gemini Scorpion,EARTH,4,Warrior,1600,400
Gemini Summoner,WATER,4,Spellcaster,1500,0
Gendo the Ascetic Monk,WATER,4,Spellcaster,300,1800
Gene-Warped Warwolf,EARTH,4,Beast-Warrior,2000,100
Genetic Woman,WIND,4,Psychic,1700,1200
Genex Ally Bellflame,DARK,4,Machine,1700,1000
Genex Ally Crusher,DARK,4,Machine,1000,2000
Genex Ally Duradark,DARK,4,Machine,1800,200
Genex Ally Powercell,DARK,4,Machine,1700,0
Genex Ally Volcannon,DARK,4,Machine,1700,600
Genex Blastfan,WIND,4,Spellcaster,1600,1300
Genex Neutron,LIGHT,4,Machine,1800,1200
Genex Searcher,EARTH,4,Machine,1600,400
Genex Turbine,EARTH,4,Machine,1400,1300
Gentlemander,LIGHT,4,Reptile,1200,1000
Gernia,DARK,4,Zombie,1300,1200
Getsu Fuhma,DARK,4,Warrior,1700,1200
Ghost Gardna,DARK,4,Warrior,0,1900
Ghostrick Angel of Mischief,DARK,4,Fairy,2000,2500
Giant Flea,EARTH,4,Insect,1500,1200
Giant Kozaky,DARK,4,Fiend,2500,2400
Giant Orc,DARK,4,Fiend,2200,0
Giant Rat,EARTH,4,Beast,1400,1450
Giant Red Seasnake,WATER,4,Aqua,1800,800
Giant Rex,EARTH,4,Dinosaur,2000,1200
Giga-Tech Wolf,FIRE,4,Machine,1200,1400
Gigantes,EARTH,4,Rock,1900,1300
Gigantic Cephalotus,EARTH,4,Plant,1850,700
Gil Garth,DARK,4,Fiend,1800,1200
Gimmick Puppet Des Troy,DARK,4,Machine,1200,2000
Gimmick Puppet Egg Head,EARTH,4,Machine,1600,1200
Gimmick Puppet Humpty Dumpty,DARK,4,Machine,0,100
Gimmick Puppet Scissor Arms,DARK,4,Machine,1200,600
Girochin Kuwagata,WIND,4,Insect,1700,1000
Gishki Ariel,WATER,4,Spellcaster,1000,1800
Gishki Avance,WATER,4,Spellcaster,1500,800
Gishki Beast,WATER,4,Beast,1500,1300
Gishki Chain,WATER,4,Sea Serpent,1800,1000
Gishki Emilia,WATER,4,Spellcaster,1600,800
Gishki Marker,WATER,4,Aqua,1600,1200
Gishki Mollusk,WATER,4,Aqua,1700,900
Gishki Natalia,WATER,4,Spellcaster,1800,900
Gishki Noellia,WATER,4,Spellcaster,1700,1000
Gishki Psychelone,WATER,4,Fiend,2150,1650
Gishki Shadow,WATER,4,Sea Serpent,1200,1000
Gladiator Beast Andal,EARTH,4,Beast-Warrior,1900,1500
Gladiator Beast Bestiari,WIND,4,Winged Beast,1500,800
Gladiator Beast Darius,EARTH,4,Beast-Warrior,1700,300
Gladiator Beast Dimacari,EARTH,4,Beast,1600,1200
Gladiator Beast Equeste,WIND,4,Winged Beast,1600,1200
Gladiator Beast Hoplomus,EARTH,4,Rock,700,2100
Gladiator Beast Lanista,WIND,4,Winged Beast,1800,1200
Gladiator Beast Laquari,FIRE,4,Beast-Warrior,1800,400
Gladiator Beast Secutor,WIND,4,Reptile,400,300
Gladiator Beast Tygerius,EARTH,4,Beast,1800,800
Goblin Attack Force,EARTH,4,Warrior,2300,0
Goblin Black Ops,DARK,4,Beast-Warrior,1300,0
Goblin Decoy Squad,DARK,4,Warrior,1000,0
Goblin Elite Attack Force,EARTH,4,Fiend,2200,1500
Goblin Marauding Squad,EARTH,4,Beast-Warrior,1900,0
Goblin of Greed,EARTH,4,Fiend,1000,1800
Goblin Pothole Squad,EARTH,4,Warrior,1500,400
Goblin Recon Squad,WIND,4,Warrior,1700,0
Goblin Zombie,DARK,4,Zombie,1100,1050
Goblindbergh,EARTH,4,Warrior,1400,0
Goddess Bow,LIGHT,4,Warrior,1500,1600
Goddess with the Third Eye,LIGHT,4,Fairy,1200,1000
Goe Goe the Gallant Ninja,WIND,4,Warrior,1500,1000
Goggle Golem,EARTH,4,Rock,1500,500
Gogogo Ghost,DARK,4,Zombie,1900,0
Gogogo Giant,EARTH,4,Rock,2000,0
Gogogo Gigas,EARTH,4,Rock,0,2200
Gogogo Golem,EARTH,4,Rock,1800,1500
Gogogo Golem - Golden Form,EARTH,4,Rock,0,1500
Gogogo Goram,EARTH,4,Rock,2300,0
Gokibore,EARTH,4,Insect,1200,1400
Gold Gadget,LIGHT,4,Machine,1700,800
Golden Dragon Summoner,LIGHT,4,Spellcaster,1000,1000
Golden Flying Fish,LIGHT,4,Fish,1700,1000
Golem Dragon,EARTH,4,Dragon,200,2000
Golem Sentry,EARTH,4,Rock,800,1800
Gora Turtle of Illusion,WATER,4,Aqua,1200,1400
Gozuki,EARTH,4,Zombie,1700,800
Gradius,LIGHT,4,Machine,1200,800
Granadora,WATER,4,Reptile,1900,700
Grand Tiki Elder,DARK,4,Fiend,1500,800
Grandram,EARTH,4,Rock,0,0
Grapple Blocker,EARTH,4,Psychic,1200,2000
Grave Ohja,EARTH,4,Rock,1600,1500
Grave Protector,DARK,4,Fiend,0,2000
Gravekeeper's Ambusher,DARK,4,Spellcaster,1700,0
Gravekeeper's Assailant,DARK,4,Spellcaster,1500,1500
Gravekeeper's Cannonholder,DARK,4,Spellcaster,1400,1200
Gravekeeper's Commandant,EARTH,4,Spellcaster,1600,1500
Gravekeeper's Descendant,DARK,4,Spellcaster,1500,1200
Gravekeeper's Guard,DARK,4,Spellcaster,1000,1900
Gravekeeper's Heretic,DARK,4,Spellcaster,1800,1500
Gravekeeper's Spear Soldier,DARK,4,Spellcaster,1500,1000
Gravekeeper's Spy,DARK,4,Spellcaster,1200,2000
Gravekeeper's Watcher,DARK,4,Spellcaster,1000,1000
Great Angus,FIRE,4,Beast,1800,600
Great Bill,EARTH,4,Beast,1250,1300
Great Sorcerer of the Nekroz,WATER,4,Spellcaster,1500,800
Great Spirit,EARTH,4,Rock,500,1500
Great White,WATER,4,Fish,1600,800
Green Gadget,EARTH,4,Machine,1400,600
Griffore,EARTH,4,Beast,1200,1500
Ground Attacker Bugroth,EARTH,4,Machine,1500,1000
Ground Spider,EARTH,4,Insect,0,1500
Guard Penguin,WATER,4,Winged Beast,0,1200
Guardian Baou,DARK,4,Fiend,800,400
Guardian Ceal,FIRE,4,Pyro,1700,1400
Guardian Kay'est,WATER,4,Sea Serpent,1000,1800
Guardian of Felgrand,LIGHT,4,Warrior,500,500
Guardian of the Labyrinth,EARTH,4,Warrior,1000,1200
Guardian of the Throne Room,LIGHT,4,Machine,1650,1600
Guardian Statue,EARTH,4,Rock,800,1400
Guerilla Kite,FIRE,4,Fiend,1600,200
Guiding Ariadne,LIGHT,4,Fairy,1700,800
Guldfaxe of the Nordic Beasts,LIGHT,4,Beast,1600,1000
Gundari,FIRE,4,Pyro,1000,200
Gusto Thunbolt,WIND,4,Thunder,1500,1200
Hammer Shark,WATER,4,Fish,1700,1500
Hand-Holding Genie,DARK,4,Fiend,1000,1600
Hannibal Necromancer,DARK,4,Spellcaster,1400,1800
Hardened Armed Dragon,EARTH,4,Dragon,1500,800
Harmonizing Magician,DARK,4,Spellcaster,0,0
Harpie Channeler,WIND,4,Winged Beast,1400,1300
Harpie Dancer,WIND,4,Winged Beast,1200,1000
Harpie Harpist,WIND,4,Winged Beast,1700,600
Harpie Lady,WIND,4,Winged Beast,1300,1400
Harpie Lady 1,WIND,4,Winged Beast,1300,1400
Harpie Lady 2,WIND,4,Winged Beast,1300,1400
Harpie Lady 3,WIND,4,Winged Beast,1300,1400
Harpie Queen,WIND,4,Winged Beast,1900,1200
Harpie's Pet Baby Dragon,WIND,4,Dragon,1200,600
Harpie's Pet Phantasmal Dragon,WIND,4,Dragon,2000,2500
Harvest Angel of Wisdom,LIGHT,4,Fairy,1800,1000
Headless Knight,EARTH,4,Fiend,1450,1700
Healing Wave Generator,LIGHT,4,Machine,800,1600
Heavy Armored Train Ironwolf,EARTH,4,Machine,2200,2200
Heavy Knight of the Flame,FIRE,4,Zombie,1800,200
"Hebo, Lord of the River",WATER,4,Aqua,1800,600
Hecatrice,LIGHT,4,Fairy,1500,1100
Helios - The Primordial Sun,LIGHT,4,Pyro,0,0
Heliosphere Dragon,LIGHT,4,Dragon,0,1900
Helping Robo for Combat,LIGHT,4,Machine,1600,0
Herald of Creation,LIGHT,4,Spellcaster,1800,600
Herald of the Arc Light,LIGHT,4,Fairy,600,1000
Heraldic Beast Aberconway,WIND,4,Dragon,1800,1800
Heraldic Beast Amphisbaena,WIND,4,Dragon,1700,1100
Heraldic Beast Basilisk,EARTH,4,Beast,1000,1400
Heraldic Beast Berners Falcon,WIND,4,Winged Beast,1000,1000
Heraldic Beast Eale,EARTH,4,Beast,1000,1800
Heraldic Beast Leo,EARTH,4,Beast,2000,1000
Heraldic Beast Twin-Headed Eagle,WIND,4,Winged Beast,1200,1400
Heraldic Beast Unicorn,LIGHT,4,Beast,1100,1600
Heroic Challenger - Assault Halberd,EARTH,4,Warrior,1800,200
Heroic Challenger - Double Lance,EARTH,4,Warrior,1700,900
Heroic Challenger - Extra Sword,EARTH,4,Warrior,1000,1000
Heroic Challenger - Night Watchman,EARTH,4,Warrior,1200,300
Heroic Challenger - Spartan,EARTH,4,Warrior,1600,1000
Heroic Challenger - Swordshield,EARTH,4,Warrior,0,2000
Heroic Challenger - Thousand Blades,EARTH,4,Warrior,1300,1100
Heroic Champion - Excalibur,LIGHT,4,Warrior,2000,2000
Heroic Champion - Gandiva,EARTH,4,Warrior,2100,2100
Heroic Champion - Kusanagi,EARTH,4,Warrior,2500,2500
Hi-Speedroid Puzzle,WIND,4,Machine,1300,1600
Hibikime,EARTH,4,Warrior,1450,1000
Hieratic Dragon of Gebeb,LIGHT,4,Dragon,1800,400
Hieratic Dragon of Nuit,LIGHT,4,Dragon,1700,900
High Tide Gyojin,WATER,4,Aqua,1650,1300
Hitotsu-Me Giant,EARTH,4,Beast-Warrior,1200,1000
Holding Arms,DARK,4,Fiend,500,1200
Holding Legs,DARK,4,Fiend,800,600
Homunculus the Alchemic Being,LIGHT,4,Plant,1800,1600
Honest,LIGHT,4,Fairy,1100,1900
Horus the Black Flame Dragon LV4,FIRE,4,Dragon,1600,1000
Hourglass of Courage,LIGHT,4,Fairy,1100,1200
Humanoid Slime,WATER,4,Aqua,800,2000
Hunter of Black Feathers,LIGHT,4,Beast-Warrior,1700,1000
Hunter Owl,WIND,4,Winged Beast,1000,900
Hydra Viper,WATER,4,Reptile,1800,400
Hydrogeddon,WATER,4,Dinosaur,1600,1000
Hyosube,WATER,4,Aqua,1500,900
Hyper Hammerhead,EARTH,4,Dinosaur,1500,1200
Hyper Synchron,LIGHT,4,Machine,1600,800
Hypnocorn,DARK,4,Beast,1400,600
Hypnosister,WIND,4,Psychic,1300,1400
Hysteric Fairy,LIGHT,4,Fairy,1800,500
Ice Beast Zerofyne,WATER,4,Winged Beast,2000,2200
Ice Hand,WATER,4,Aqua,1400,1600
Igknight Paladin,FIRE,4,Warrior,1400,1900
Igknight Templar,FIRE,4,Warrior,1700,1300
Immortal Ruler,EARTH,4,Zombie,1800,200
Inari Fire,FIRE,4,Pyro,1500,200
Indiora Doom Volt the Cubic Emperor,LIGHT,4,Fairy,0,0
Indomitable Fighter Lei Lei,EARTH,4,Beast-Warrior,2300,0
Infernal Dragon,DARK,4,Dragon,2000,0
Infernal Flame Vixen,FIRE,4,Pyro,2200,2000
Infernalqueen Archfiend,FIRE,4,Fiend,900,1500
Infernity Archfiend,DARK,4,Fiend,1800,1200
Infernity Guardian,DARK,4,Fiend,1200,1700
Inferno,FIRE,4,Pyro,1100,1900
Infernoid Patrulea,FIRE,4,Fiend,1800,0
Infinity Dark,DARK,4,Fiend,1500,1200
Informer Spider,EARTH,4,Insect,500,1800
Inpachi,EARTH,4,Machine,1600,1900
Insect Knight,EARTH,4,Insect,1900,1500
Invader from Another Dimension,DARK,4,Fiend,950,1400
Invader of the Throne,EARTH,4,Warrior,1350,1700
Invoked Caliga,DARK,4,Beast,1000,1800
Inzektor Earwig,DARK,4,Insect,1000,1000
Inzektor Hopper,DARK,4,Insect,1700,1400
Iron Chain Repairman,EARTH,4,Warrior,1600,1200
Island Turtle,WATER,4,Aqua,1100,2000
"Isolde, Belle of the Underworld",DARK,4,Zombie,1000,0
Izanami,WATER,4,Fairy,1100,1800
Jade Knight,LIGHT,4,Machine,1000,1800
"Jain, Lightsworn Paladin",LIGHT,4,Warrior,1800,1200
Jar Turtle,WATER,4,Reptile,200,2100
Jellyfish,WATER,4,Aqua,1200,1500
"Jenis, Lightsworn Mender",LIGHT,4,Spellcaster,300,2100
Jetroid,WIND,4,Machine,1200,1800
Jigabyte,WATER,4,Reptile,1500,200
Jinzo - Jector,DARK,4,Machine,800,2000
Jirai Gumo,EARTH,4,Insect,2200,100
Jumbo Drill,EARTH,4,Machine,1800,100
Junk Blader,EARTH,4,Warrior,1800,1000
Junk Servant,EARTH,4,Warrior,1500,1000
Juragedo,DARK,4,Fiend,1700,1300
Jurrac Guaiba,FIRE,4,Dinosaur,1700,400
Jurrac Iguanon,FIRE,4,Dinosaur,1700,700
Jurrac Protops,FIRE,4,Dinosaur,1700,1200
Jurrac Velo,FIRE,4,Dinosaur,1700,1000
Justice Bringer,EARTH,4,Warrior,1700,1000
KA-2 Des Scissors,DARK,4,Machine,1000,1000
Kabazauls,WATER,4,Dinosaur,1700,1500
Kachi Kochi Dragon,EARTH,4,Dragon,2100,1300
Kagetokage,DARK,4,Reptile,1100,1500
Kaiser Sea Horse,LIGHT,4,Sea Serpent,1700,1650
Kamionwizard,DARK,4,Spellcaster,1300,1100
Kanan the Swordmistress,EARTH,4,Warrior,1400,1400
Kangaroo Champ,EARTH,4,Beast,800,700
Karakuri Bushi mdl 6318 &quot;Muzanichiha&quot;,EARTH,4,Machine,1800,600
Karakuri Muso mdl 818 &quot;Haipa&quot;,EARTH,4,Machine,2100,1100
Karakuri Ninja mdl 919 &quot;Kuick&quot;,EARTH,4,Machine,1700,1500
Karakuri Soldier mdl 236 &quot;Nisamu&quot;,EARTH,4,Machine,1400,200
Karakuri Watchdog mdl 313 &quot;Saizan&quot;,EARTH,4,Machine,600,1800
Karbonala Warrior,EARTH,4,Warrior,1500,1200
Keeper of the Shrine,DARK,4,Dragon,0,2100
Kelbek,EARTH,4,Fairy,1500,1800
Keldo,EARTH,4,Fairy,1200,1600
Key Mace #2,DARK,4,Fiend,1050,1200
Killer Needle,WIND,4,Insect,1200,1000
King of the Feral Imps,DARK,4,Reptile,2300,2000
King Tiger Wanghu,EARTH,4,Beast,1700,1000
King's Knight,LIGHT,4,Warrior,1600,1400
Knight Day Grepher,LIGHT,4,Warrior,1700,1600
Koa'ki Meiru Beetle,EARTH,4,Insect,1900,1500
Koa'ki Meiru Bergzak,EARTH,4,Warrior,2000,200
Koa'ki Meiru Boulder,EARTH,4,Rock,1200,1000
Koa'ki Meiru Crusader,EARTH,4,Beast-Warrior,1900,1300
Koa'ki Meiru Drago,WIND,4,Dragon,1900,1600
Koa'ki Meiru Gravirose,FIRE,4,Plant,1900,1300
Koa'ki Meiru Guardian,EARTH,4,Rock,1900,1200
Koa'ki Meiru Ice,WATER,4,Aqua,1900,1200
Koa'ki Meiru Overload,EARTH,4,Rock,1900,1200
Koa'ki Meiru Powerhand,EARTH,4,Machine,2100,1600
Koa'ki Meiru Prototype,EARTH,4,Rock,1800,1800
Koa'ki Meiru Sandman,EARTH,4,Rock,1900,1200
Koa'ki Meiru Sea Panther,WATER,4,Sea Serpent,1900,1200
Koa'ki Meiru Tornado,WIND,4,Winged Beast,1500,1200
Koa'ki Meiru Urnight,EARTH,4,Beast-Warrior,2000,1500
Koa'ki Meiru Wall,EARTH,4,Rock,1900,1200
Koa'ki Meiru War Arms,EARTH,4,Warrior,1400,1200
Kojikocy,EARTH,4,Warrior,1500,1200
Koumori Dragon,DARK,4,Dragon,1500,1200
Kozmo Goodwitch,LIGHT,4,Psychic,1800,1000
Kozmoll Wickedwitch,DARK,4,Psychic,1900,300
Kryuel,DARK,4,Fiend,1000,1700
Kunoichi,WIND,4,Warrior,1800,1000
Kuwagata &alpha;,EARTH,4,Insect,1250,1000
Kycoo the Ghost Destroyer,DARK,4,Spellcaster,1800,700
La Jinn the Mystical Genie of the Lamp,DARK,4,Fiend,1800,1000
Lady Assailant of Flames,FIRE,4,Pyro,1500,1000
Lady of D.,DARK,4,Spellcaster,1500,1100
Lady Panther,EARTH,4,Beast-Warrior,1400,1300
Lancer Archfiend,DARK,4,Fiend,1600,1400
Lancer Dragonute,DARK,4,Dragon,1500,1800
Lancer Lindwurm,WIND,4,Dragon,1800,1200
Landrobe the Rock Vassal,EARTH,4,Rock,800,1000
Lava Dragon,FIRE,4,Dragon,1600,1200
Laval Blaster,FIRE,4,Warrior,1200,800
Laval Cannon,FIRE,4,Warrior,1600,900
Laval Magma Cannoneer,FIRE,4,Pyro,1700,200
Laval Phlogis,FIRE,4,Pyro,1700,800
Laval Warrior,FIRE,4,Warrior,1800,500
Lavalval Chain,FIRE,4,Sea Serpent,1800,1000
Layard the Liberator,LIGHT,4,Fairy,1400,1500
"Lector Pendulum, the Dracoverlord",DARK,4,Dragon,1950,0
Legacy Hunter,EARTH,4,Warrior,1000,1500
Legendary Six Samurai - Enishi,LIGHT,4,Warrior,1700,700
Legendary Six Samurai - Kizan,EARTH,4,Warrior,1800,500
Legion the Fiend Jester,DARK,4,Spellcaster,1300,1500
Lekunga,WATER,4,Plant,1700,500
Leotaur,EARTH,4,Beast-Warrior,1500,1600
Lesser Dragon,WIND,4,Dragon,1200,1000
Light Effigy,LIGHT,4,Fairy,1500,0
Lightning Chidori,WIND,4,Thunder,1900,1600
Lightning Rod Lord,LIGHT,4,Thunder,1800,100
Lightray Grepher,LIGHT,4,Warrior,1700,1600
Lillybot,LIGHT,4,Machine,500,2000
Lindbloom,EARTH,4,Wyrm,0,1800
Lion Alligator,WATER,4,Reptile,1900,200
Lionhearted Locomotive,EARTH,4,Machine,2400,2100
Little-Winguard,WIND,4,Warrior,1400,1800
Ljosalf of the Nordic Alfar,LIGHT,4,Spellcaster,1400,1200
Lord British Space Fighter,LIGHT,4,Machine,1200,800
Lord of D.,DARK,4,Spellcaster,1200,1100
Lord of the Lamp,DARK,4,Fiend,1400,1200
Lord Poison,WATER,4,Plant,1500,1000
Lost Guardian,EARTH,4,Rock,100,0
Lucky Pied Piper,WIND,4,Fairy,1500,500
Lunalight Blue Cat,DARK,4,Beast-Warrior,1600,1200
Luster Dragon,WIND,4,Dragon,1900,1600
"Luster Pendulum, the Dracoslayer",LIGHT,4,Dragon,1850,0
"Lyla, Lightsworn Sorceress",LIGHT,4,Spellcaster,1700,200
Machina Defender,EARTH,4,Machine,1200,1800
Machina Gearframe,EARTH,4,Machine,1800,0
Machina Sniper,EARTH,4,Machine,1800,800
Machina Soldier,EARTH,4,Machine,1600,1500
Machine Lord &Uuml;r,EARTH,4,Machine,1600,1500
Mad Archfiend,DARK,4,Fiend,1800,0
Mad Dog of Darkness,DARK,4,Beast,1900,1400
Mad Sword Beast,EARTH,4,Dinosaur,1400,1200
Madolche Anjelly,EARTH,4,Fairy,1000,1000
Madolche Butlerusk,EARTH,4,Spellcaster,1500,800
